,catalog,LAB_L,mloc,mtrial,mmode
53441,1023k,27.31,dmax,0,M0
6021,1023k,30.4,dmax,0,M0
53442,1023k,27.31,dmax,0,M1
6022,1023k,30.4,dmax,0,M1
53443,1023k,27.31,dmax,0,M2
6023,1023k,30.4,dmax,0,M2
6024,1023k,26.49,dmax,1,M0
53444,1023k,26.79,dmax,1,M0
6025,1023k,26.49,dmax,1,M1
53445,1023k,26.79,dmax,1,M1
6026,1023k,26.49,dmax,1,M2
53446,1023k,26.79,dmax,1,M2
6027,1023k,27.28,dmax,2,M0
53447,1023k,27.55,dmax,2,M0
6028,1023k,27.28,dmax,2,M1
53448,1023k,27.55,dmax,2,M1
6029,1023k,27.28,dmax,2,M2
53449,1023k,27.55,dmax,2,M2
6012,1023k,90.03,dmin,0,M0
6013,1023k,90.04,dmin,0,M1
6014,1023k,90.03,dmin,0,M2
6015,1023k,90.03,dmin,1,M0
6016,1023k,90.04,dmin,1,M1
6017,1023k,90.03,dmin,1,M2
6018,1023k,89.88,dmin,2,M0
6019,1023k,89.89,dmin,2,M1
6020,1023k,89.88,dmin,2,M2
65981,285b,21.34,dmax,0,M0
65982,285b,21.34,dmax,0,M1
65983,285b,21.33,dmax,0,M2
65984,285b,20.7,dmax,1,M0
65985,285b,20.71,dmax,1,M1
65986,285b,20.7,dmax,1,M2
65987,285b,20.85,dmax,2,M0
65988,285b,20.85,dmax,2,M1
65989,285b,20.85,dmax,2,M2
65990,285b,90.6,dmin,0,M0
65991,285b,90.63,dmin,0,M1
65992,285b,90.57,dmin,0,M2
65993,285b,91.34,dmin,1,M0
65994,285b,91.37,dmin,1,M1
65995,285b,91.31,dmin,1,M2
65996,285b,90.94,dmin,2,M0
65997,285b,90.97,dmin,2,M1
65998,285b,90.91,dmin,2,M2
65999,285b,90.88,dmin,3,M0
4725,294u,16.3,dmax,0,M0
65252,294u,17.28,dmax,0,M0
4726,294u,16.3,dmax,0,M1
65253,294u,17.28,dmax,0,M1
4727,294u,16.3,dmax,0,M2
65254,294u,17.28,dmax,0,M2
4728,294u,16.29,dmax,1,M0
65255,294u,17.29,dmax,1,M0
4729,294u,16.29,dmax,1,M1
65256,294u,17.3,dmax,1,M1
4730,294u,16.29,dmax,1,M2
65257,294u,17.28,dmax,1,M2
4731,294u,16.57,dmax,2,M0
65258,294u,17.39,dmax,2,M0
4732,294u,16.57,dmax,2,M1
65259,294u,17.39,dmax,2,M1
4733,294u,16.57,dmax,2,M2
65260,294u,17.39,dmax,2,M2
4716,294u,93.5,dmin,0,M0
4717,294u,93.52,dmin,0,M1
4718,294u,93.48,dmin,0,M2
4719,294u,93.59,dmin,1,M0
4720,294u,93.61,dmin,1,M1
4721,294u,93.57,dmin,1,M2
4722,294u,93.54,dmin,2,M0
4723,294u,93.55,dmin,2,M1
4724,294u,93.52,dmin,2,M2
9342,5486e,25.71,dmax,0,M0
9343,5486e,25.71,dmax,0,M1
9344,5486e,25.71,dmax,0,M2
9345,5486e,28.72,dmax,1,M0
9346,5486e,28.72,dmax,1,M1
9347,5486e,26.43,dmax,2,M0
9348,5486e,26.43,dmax,2,M1
9349,5486e,26.43,dmax,2,M2
9333,5486e,89.16,dmin,0,M0
9334,5486e,89.16,dmin,0,M1
9335,5486e,89.15,dmin,0,M2
9336,5486e,89.01,dmin,1,M0
9337,5486e,89.02,dmin,1,M1
9338,5486e,89.01,dmin,1,M2
9339,5486e,88.96,dmin,2,M0
9340,5486e,88.97,dmin,2,M1
9341,5486e,88.95,dmin,2,M2
31202,5528a,36.39,dmax,0,M0
31203,5528a,36.4,dmax,0,M1
31204,5528a,36.39,dmax,0,M2
31205,5528a,37.83,dmax,1,M0
31206,5528a,37.84,dmax,1,M1
31207,5528a,37.83,dmax,1,M2
31208,5528a,33.66,dmax,2,M0
31209,5528a,33.67,dmax,2,M1
31210,5528a,33.66,dmax,2,M2
31211,5528a,89.88,dmin,0,M0
5706,5528a,92.37,dmin,0,M0
31212,5528a,89.9,dmin,0,M1
5707,5528a,92.39,dmin,0,M1
31213,5528a,89.86,dmin,0,M2
5708,5528a,92.35,dmin,0,M2
31214,5528a,87.86,dmin,1,M0
5709,5528a,92.04,dmin,1,M0
31215,5528a,87.88,dmin,1,M1
5710,5528a,92.06,dmin,1,M1
31216,5528a,87.84,dmin,1,M2
5711,5528a,92.02,dmin,1,M2
31217,5528a,89.12,dmin,2,M0
5712,5528a,91.76,dmin,2,M0
31218,5528a,89.15,dmin,2,M1
5713,5528a,91.78,dmin,2,M1
31219,5528a,89.1,dmin,2,M2
5714,5528a,91.73,dmin,2,M2
315,902t,15.33,dmax,0,M0
73074,902t,16.94,dmax,0,M0
316,902t,15.33,dmax,0,M1
73075,902t,16.94,dmax,0,M1
317,902t,15.33,dmax,0,M2
73076,902t,16.94,dmax,0,M2
318,902t,15.47,dmax,1,M0
73077,902t,17.38,dmax,1,M0
319,902t,15.47,dmax,1,M1
73078,902t,17.38,dmax,1,M1
320,902t,15.47,dmax,1,M2
73079,902t,17.38,dmax,1,M2
321,902t,15.51,dmax,2,M0
73080,902t,16.79,dmax,2,M0
322,902t,15.51,dmax,2,M1
73081,902t,16.8,dmax,2,M1
323,902t,15.51,dmax,2,M2
73082,902t,16.79,dmax,2,M2
306,902t,92.44,dmin,0,M0
307,902t,92.46,dmin,0,M1
308,902t,92.42,dmin,0,M2
309,902t,92.41,dmin,1,M0
310,902t,92.43,dmin,1,M1
311,902t,92.39,dmin,1,M2
312,902t,92.37,dmin,2,M0
313,902t,92.39,dmin,2,M1
314,902t,92.35,dmin,2,M2
